date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:17	68707/68707	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20May%202021%2006:28:48%20GMT	https://www.wrraptheme.com/templates/lucid/html/light/index.html	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/light/index.html	(from )
14:46:17	4600/4600	---M--	404	error ('Not%20Found')	text/html	etag:%221aa3d9-11f8-5827c2c756540%22	https://www.wrraptheme.com/robots.txt		(from )
14:46:17	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2022%20Jun%202018%2023:41:18%20GMT	https://www.wrraptheme.com/templates/lucid/html/light/favicon.ico	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/light/favicon.ico	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:18	153045/153045	---M-Z	200	added ('OK')	text/css	etag:%223a6e67-255d5-56f31533adb00-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:18	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22385c7e-7918-54ff6940d4500-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/font-awesome/css/font-awesome.min.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:18	5014/5014	---M-Z	200	added ('OK')	text/css	etag:%22385c88-1396-54ff6940d4500-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:19	11508/11508	---M-Z	200	added ('OK')	text/css	etag:%223a6f63-2cf4-54ff6940d4500-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/chartist/css/chartist.min.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/chartist/css/chartist.min.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:19	821/821	---M-Z	200	added ('OK')	text/css	etag:%223a7b0d-335-54ff6940d4500-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:19	8570/8570	---M-Z	200	added ('OK')	text/css	etag:%223a6f81-217a-56f42cf0fd800-gzip%22	https://www.wrraptheme.com/templates/lucid/html/assets/vendor/toastr/toastr.min.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/assets/vendor/toastr/toastr.min.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
14:46:20	125554/125554	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202019%2006:24:40%20GMT	https://www.wrraptheme.com/templates/lucid/html/light/assets/css/main.css	C:/My%20Web%20Sites/lucid/www.wrraptheme.com/templates/lucid/html/light/assets/css/main.css	(from https://www.wrraptheme.com/templates/lucid/html/light/index.html)
